GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reto4,src.main.java,VHotel.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
reto4,src.main.java,ListaHabitaciones,0,3,0,0,0,2,0,1,0,1
reto4,src.main.java,VHotel.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
reto4,src.main.java,Acerca,6,307,0,0,3,56,1,3,1,3
reto4,src.main.java,VHotel.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
reto4,src.main.java,VHotel.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
reto4,src.main.java,ListaCategorias,2,5,0,0,1,3,1,2,1,2
reto4,src.main.java,VHotel.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
reto4,src.main.java,VHotel.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
reto4,src.main.java,VHotel.new WindowAdapter() {...},5,6,0,0,2,1,1,1,1,1
reto4,src.main.java,VHotel.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
reto4,src.main.java,VHotel.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
reto4,src.main.java,VHotel,649,7525,64,20,134,1317,47,28,8,25
reto4,src.main.java,Acerca.new WindowAdapter() {...},5,6,0,0,2,1,1,1,1,1
reto4,src.main.java,Acerca.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
reto4,src.main.java,Cliente,0,83,0,0,0,34,0,17,0,17
reto4,src.main.java,Hotel,109,162,0,0,26,40,4,8,4,8
reto4,src.main.java,ListaClientes,0,3,0,0,0,2,0,1,0,1
reto4,src.main.java,VHotel.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
reto4,src.main.java,VHotel.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
reto4,src.main.java,VHotel.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
reto4,src.main.java,VHotel.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
reto4,src.main.java,VHotel.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
reto4,src.main.java,VHotel.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
reto4,src.main.java,VHotel.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
reto4,src.main.java,VHotel.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
reto4,src.main.java,VHotel.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
reto4,src.main.java,Categoria,0,12,0,0,0,5,0,1,0,1
reto4,src.main.java,Habitacion,0,12,0,0,0,5,0,1,0,1
